Medicamento,Classe,Indicação,Reações Adversas,Apresentação,Dosagem
Paracetamol,Analgésico,Dor e febre,"Náusea, alergia",Comprimido 500 mg,"500 mg a 1 g, 3x ao dia"
Ibuprofeno,Anti-inflamatório,Dor,"Azia, dor de cabeça",Comprimido 400 mg,"400 mg a 600 mg, 3x ao dia"
Amoxicilina,Antibiótico,Infecção bacteriana,"Diarreia, náusea",Comprimido 500 mg,"500 mg, 3x ao dia"
Loratadina,Antialérgico,Alergia,"Sonolência, boca seca",Comprimido 10 mg,"10 mg, 1x ao dia"
Omeprazol,Inibidor de bomba de prótons,Refluxo gástrico,"Dor de cabeça, diarreia",Comprimido 20 mg,"20 mg, 1x ao dia"
Losartana Potássica,Antihipertensivo,Hipertensão,"Tontura, cansaço",Comprimido 50 mg,"50 mg, 1x ao dia"
Metformina,Antidiabético,Diabetes tipo 2,"Náusea, dor abdominal",Comprimido 850 mg,"850 mg a 1 g, 2x ao dia"
Sinvastatina,Estatina,Colesterol alto,"Dor muscular, dor de cabeça",Comprimido 20 mg,"20 mg, 1x ao dia"
Cetirizina,Antialérgico,Alergia,"Sonolência, boca seca",Comprimido 10 mg,"10 mg, 1x ao dia"
Ranitidina,Antagonista H2,Úlcera gástrica,"Dor de cabeça, diarreia",Comprimido 150 mg,"150 mg, 2x ao dia"
Dipirona,Analgésico,Dor e febre,"Reação alérgica, queda de pressão",Comprimido 500 mg,"500 mg a 1 g, 4x ao dia"
Clonazepam,Ansiolítico,"Ansiedade, convulsão","Sonolência, tontura",Comprimido 2 mg,"0,5 mg a 2 mg, 2x ao dia"
Furosemida,Diurético,"Edema, hipertensão","Tontura, desidratação",Comprimido 40 mg,"40 mg, 1x ao dia"
Salbutamol,Broncodilatador,Asma,"Tremor, taquicardia",Inalador 100 mcg,"2 inalações, 4x ao dia"
Diclofenaco,Anti-inflamatório,Dor e inflamação,"Dor abdominal, náusea",Comprimido 50 mg,"50 mg, 3x ao dia"
Prednisona,Corticosteroide,"Inflamação, alergias","Ganho de peso, insônia",Comprimido 20 mg,"5-60 mg, dose variável"
Ácido acetilsalicílico,Antiplaquetário,"Dor, prevenção de AVC","Gastrite, sangramento",Comprimido 100 mg,"100 mg, 1x ao dia"
Enalapril,Antihipertensivo,Hipertensão,"Tontura, tosse seca",Comprimido 10 mg,"10-20 mg, 1x ao dia"
Fluoxetina,Antidepressivo,Depressão,"Insônia, náusea",Comprimido 20 mg,"20 mg, 1x ao dia"
Clindamicina,Antibiótico,Infecção bacteriana,"Diarreia, náusea",Comprimido 300 mg,"300 mg, 3x ao dia"
Cetoconazol,Antifúngico,Infecção fúngica,"Coceira, vermelhidão",Creme 2%,Aplicar 2x ao dia
Diazepam,Ansiolítico,"Ansiedade, espasmos musculares","Sonolência, fadiga",Comprimido 5 mg,"2-10 mg, 2-4x ao dia"
Levotiroxina,Hormônio tireoidiano,Hipotireoidismo,"Palpitações, perda de peso",Comprimido 50 mcg,"50-100 mcg, 1x ao dia"
Nifedipino,Antihipertensivo,Hipertensão,"Inchaço, dor de cabeça",Comprimido 30 mg,"30 mg, 1-2x ao dia"
Metoclopramida,Antiemético,"Náusea, vômito","Sonolência, fadiga",Comprimido 10 mg,"10 mg, 3x ao dia"
Hidroclorotiazida,Diurético,"Hipertensão, retenção de líquidos","Tontura, cãibras",Comprimido 25 mg,"25 mg, 1x ao dia"
Azitromicina,Antibiótico,Infecções respiratórias,"Náusea, diarreia",Comprimido 500 mg,"500 mg, 1x ao dia"
Carbamazepina,Anticonvulsivante,"Epilepsia, neuralgia","Sonolência, tontura",Comprimido 200 mg,"200 mg, 2-3x ao dia"
Risperidona,Antipsicótico,"Esquizofrenia, bipolaridade","Ganho de peso, sedação",Comprimido 1 mg,"1-6 mg, 1-2x ao dia"
Captopril,Antihipertensivo,Hipertensão,"Tosse seca, tontura",Comprimido 25 mg,"25-50 mg, 2-3x ao dia"
Dexametasona,Corticosteroide,Inflamação severa,"Retenção de líquidos, insônia",Comprimido 4 mg,"0,5-9 mg, dose variável"
Bromoprida,Antiemético,"Náusea, refluxo","Sonolência, agitação",Comprimido 10 mg,"10 mg, 3x ao dia"
